"group";"ISOweek";"N"
"45to64";"2014-W41";1503389.85714286
"45to64";"2014-W42";1503483.42857143
"45to64";"2014-W43";1503547.71428571
"45to64";"2014-W44";1503840.14285714
"45to64";"2014-W45";1503902.85714286
"45to64";"2014-W46";1504020.85714286
"45to64";"2014-W47";1504042
"45to64";"2014-W48";1504085.57142857
"45to64";"2014-W49";1504168.85714286
"45to64";"2014-W50";1504084.14285714
"45to64";"2014-W51";1504110.14285714
"45to64";"2014-W52";1503999
"45to64";"2015-W01";1503779.85714286
"45to64";"2015-W02";1503823
"45to64";"2015-W03";1503778.42857143
"45to64";"2015-W04";1503776.57142857
"45to64";"2015-W05";1503844
"45to64";"2015-W06";1503697.28571429
"45to64";"2015-W07";1503589.57142857
"45to64";"2015-W08";1503510.14285714
"45to64";"2015-W09";1503572.14285714
"45to64";"2015-W10";1503493.85714286
"45to64";"2015-W11";1503521.14285714
"45to64";"2015-W12";1503562.85714286
"45to64";"2015-W13";1503574.71428571
"45to64";"2015-W14";1503571.71428571
"45to64";"2015-W15";1503571
"45to64";"2015-W16";1503655.71428571
"45to64";"2015-W17";1503748.42857143
"45to64";"2015-W18";1503888.57142857
"45to64";"2015-W19";1503851.14285714
"45to64";"2015-W20";1503929.28571429
"45to64";"2015-W21";1504002.71428571
"45to64";"2015-W22";1504139.14285714
"45to64";"2015-W23";1504268.71428571
"45to64";"2015-W24";1504274
"45to64";"2015-W25";1504494.28571429
"45to64";"2015-W26";1504646.28571429
"45to64";"2015-W27";1504816
"45to64";"2015-W28";1504766
"45to64";"2015-W29";1504853.28571429
"45to64";"2015-W30";1504973
"45to64";"2015-W31";1505257.28571429
"45to64";"2015-W32";1505300.28571429
"45to64";"2015-W33";1505575.57142857
"45to64";"2015-W34";1505748.14285714
"45to64";"2015-W35";1505879.85714286
"45to64";"2015-W36";1505969.28571429
"45to64";"2015-W37";1505976
"45to64";"2015-W38";1506065.85714286
"45to64";"2015-W39";1506210.42857143
"45to64";"2015-W40";1506372.28571429
"45to64";"2015-W41";1506328
"45to64";"2015-W42";1506393.14285714
"45to64";"2015-W43";1506457.14285714
"45to64";"2015-W44";1506572.57142857
"45to64";"2015-W45";1506534.71428571
"45to64";"2015-W46";1506654.28571429
"45to64";"2015-W47";1506770.42857143
"45to64";"2015-W48";1506941.57142857
"45to64";"2015-W49";1507155.57142857
"45to64";"2015-W50";1507227.57142857
"45to64";"2015-W51";1507355.28571429
"45to64";"2015-W52";1507363.57142857
"45to64";"2015-W53";1507223.57142857
"45to64";"2016-W01";1507274.71428571
"45to64";"2016-W02";1507397.28571429
"45to64";"2016-W03";1507478.85714286
"45to64";"2016-W04";1507499.42857143
"45to64";"2016-W05";1507570.85714286
