"group";"ISOweek";"GSIPLS"
"45to64";"2015-W11";0.0195773127674159
"45to64";"2015-W12";0.0144220735836698
"45to64";"2015-W13";0.0125069837767757
"45to64";"2015-W14";0.00943059091719938
"45to64";"2015-W15";0.00848223185969716
"45to64";"2015-W16";0.00260064161611515
"45to64";"2015-W17";0.00169020861005367
"45to64";"2015-W18";0.00186365818477228
"45to64";"2015-W19";0.000891416826000842
"45to64";"2015-W20";0.000901935196230697
"45to64";"2015-W21";0.000679037838787197
"45to64";"2015-W22";0.000563552211381606
"45to64";"2015-W23";0.00053031071199258
"45to64";"2015-W24";0.000588640753561092
"45to64";"2015-W25";9.94034443332137e-05
"45to64";"2015-W26";0.000198766723584423
"45to64";"2015-W27";0
"45to64";"2015-W28";0.000176653420777941
"45to64";"2015-W29";0
"45to64";"2015-W30";0
"45to64";"2015-W31";8.95930996281082e-05
"45to64";"2015-W32";8.69400604926685e-05
"45to64";"2015-W33";0
"45to64";"2015-W34";0
"45to64";"2015-W35";0
"45to64";"2015-W36";0
"45to64";"2015-W37";9.47986948855538e-05
"45to64";"2015-W38";0
"45to64";"2015-W39";0.000101821778729465
"45to64";"2015-W40";0.000106206820774583
"45to64";"2015-W41";0.000222121930098156
"45to64";"2015-W42";0
"45to64";"2015-W43";0.000114126422088959
"45to64";"2015-W44";0.000210594868061341
"45to64";"2015-W45";0.000233516505480283
"45to64";"2015-W46";0
"45to64";"2015-W47";0.000214944157794225
"45to64";"2015-W48";0
"45to64";"2015-W49";0.00074487636118489
"45to64";"2015-W50";0.000592058505228259
"45to64";"2015-W51";0.000998186734218222
"45to64";"2015-W52";0.001390316237884
"45to64";"2015-W53";0.00139057453176535
"45to64";"2016-W01";0.00147191062954519
"45to64";"2016-W02";0.00202090743430916
"45to64";"2016-W03";0.00444357901245866
"45to64";"2016-W04";0.0119799105697254
"45to64";"2016-W05";0.0127566807957173
"45to64";"2016-W06";0.0204065325974659
"45to64";"2016-W07";0.021616679911836
"45to64";"2016-W08";0.0252954894105399
"45to64";"2016-W09";0.0238725451731295
"45to64";"2016-W10";0.0230535491097196
"45to64";"2016-W11";0.0234955008683882
"45to64";"2016-W12";0.0124432155271366
"45to64";"2016-W13";0.0103005913307868
"45to64";"2016-W14";0.00429227532410665
"45to64";"2016-W15";0.00197962394178917
"45to64";"2016-W16";0.00112898933506439
"45to64";"2016-W17";0.000932783386003318
"45to64";"2016-W18";0.00210750897359302
"45to64";"2016-W19";0.000632052604596095
"45to64";"2016-W20";0.000447583782886111
"45to64";"2016-W21";0
"45to64";"2016-W22";0
"45to64";"2016-W23";0
"45to64";"2016-W24";0
"45to64";"2016-W25";0
"45to64";"2016-W26";8.19094227364455e-05
"45to64";"2016-W27";0.000190936768213532
"45to64";"2016-W28";0
"45to64";"2016-W29";0
"45to64";"2016-W30";0
"45to64";"2016-W31";0
"45to64";"2016-W32";8.3069703819673e-05
"45to64";"2016-W33";0
"45to64";"2016-W34";0
"45to64";"2016-W35";0
"45to64";"2016-W36";0
"45to64";"2016-W37";0.000171076863789669
"45to64";"2016-W38";0.000366446286307781
"45to64";"2016-W39";7.76129537676716e-05
"45to64";"2016-W40";8.28379734093893e-05
"45to64";"2016-W41";0
"45to64";"2016-W42";0.000111104325721395
"45to64";"2016-W43";0.00062465659657807
"45to64";"2016-W44";0.000123250804365595
"45to64";"2016-W45";0.000480816134968929
"45to64";"2016-W46";0.000105813196696143
"45to64";"2016-W47";0.000452800058807989
"45to64";"2016-W48";0.000723428467973615
"45to64";"2016-W49";0.00164092933972378
"45to64";"2016-W50";0.00298829793771906
"45to64";"2016-W51";0.00359263847949807
"45to64";"2016-W52";0.00712752619845121
"45to64";"2017-W01";0.00748177875018087
"45to64";"2017-W02";0.0111876375470539
"45to64";"2017-W03";0.0102721157606525
"45to64";"2017-W04";0.0163266900250631
"45to64";"2017-W05";0.0225452615700361
"45to64";"2017-W06";0.0191651674411513
"45to64";"2017-W07";0.0199281029111794
"45to64";"2017-W08";0.0155084700996336
"45to64";"2017-W09";0.00785337167814762
"45to64";"2017-W10";0.00457684612396045
"45to64";"2017-W11";0.00531259096057588
"45to64";"2017-W12";0.00146282895838642
"45to64";"2017-W13";0.00215072894614391
"45to64";"2017-W14";0.00139314540032415
"45to64";"2017-W15";0.000381091662342383
"45to64";"2017-W16";0.000358898434617269
"45to64";"2017-W17";0.000809750033574618
"45to64";"2017-W18";0.000324755105795233
"45to64";"2017-W19";0.000222507430534346
"45to64";"2017-W20";0.00039853577801869
"45to64";"2017-W21";0.000204167117709433
"45to64";"2017-W22";0.000174680070432743
"45to64";"2017-W23";0
"45to64";"2017-W24";7.95053756081098e-05
"45to64";"2017-W25";0.000161534109648055
"45to64";"2017-W26";0
"45to64";"2017-W27";8.89121683910409e-05
"45to64";"2017-W28";0
"45to64";"2017-W29";0
"45to64";"2017-W30";7.28655791505705e-05
"45to64";"2017-W31";8.10174357824517e-05
"45to64";"2017-W32";0
"45to64";"2017-W33";8.13891389877865e-05
"45to64";"2017-W34";8.52328002764905e-05
"45to64";"2017-W35";0
"45to64";"2017-W36";0
"45to64";"2017-W37";0.000365174050090025
"45to64";"2017-W38";0.000202135139954798
"45to64";"2017-W39";0
"45to64";"2017-W40";0
"45to64";"2017-W41";0.000102326194681718
"45to64";"2017-W42";0.000193470961620383
"45to64";"2017-W43";9.41435569748233e-05
"45to64";"2017-W44";0.000313346052614985
"45to64";"2017-W45";0.00021149659216707
"45to64";"2017-W46";0
"45to64";"2017-W47";0.000447414703650693
"45to64";"2017-W48";0.000119474000850831
"45to64";"2017-W49";0.000614588710755141
"45to64";"2017-W50";0.001650332559986
"45to64";"2017-W51";0.00499242992344492
"45to64";"2017-W52";0.00612232476615012
"45to64";"2018-W01";0.00825098823332324
"45to64";"2018-W02";0.00772630090497581
"45to64";"2018-W03";0.0192619738490992
"45to64";"2018-W04";0.0371288712412516
"45to64";"2018-W05";0.0690159131928757
"45to64";"2018-W06";0.0785163964965923
"45to64";"2018-W07";0.11238315261828
"45to64";"2018-W08";0.107184086801496
"45to64";"2018-W09";0.0905953505392756
"45to64";"2018-W10";0.104373231734727
"45to64";"2018-W11";0.0895471118854697
"45to64";"2018-W12";0.0619692366955879
"45to64";"2018-W13";0.0418340651493608
"45to64";"2018-W14";0.0213992393204382
"45to64";"2018-W15";0.0111178005258712
"45to64";"2018-W16";0.00544783265971656
"45to64";"2018-W17";0.00142428046074734
"45to64";"2018-W18";0.000363907032577614
"45to64";"2018-W19";9.22635779626764e-05
"45to64";"2018-W20";0.000261307858718524
"45to64";"2018-W21";0
"45to64";"2018-W22";8.74871710608776e-05
"45to64";"2018-W23";0
"45to64";"2018-W24";0
"45to64";"2018-W25";7.67325640989119e-05
"45to64";"2018-W26";0
"45to64";"2018-W27";0
"45to64";"2018-W28";0.000145618657552603
"45to64";"2018-W29";8.0076231473772e-05
"45to64";"2018-W30";7.2784516666895e-05
"45to64";"2018-W31";6.93444405876493e-05
"45to64";"2018-W32";0
"45to64";"2018-W33";0
"45to64";"2018-W34";0
"45to64";"2018-W35";0
"45to64";"2018-W36";8.55751763090343e-05
"45to64";"2018-W37";8.51243739142837e-05
"45to64";"2018-W38";0.000163371512776099
"45to64";"2018-W39";0
"45to64";"2018-W40";0
"45to64";"2018-W41";0.000328367144773726
"45to64";"2018-W42";8.59262893725285e-05
"45to64";"2018-W43";0.000255185014954377
"45to64";"2018-W44";0.000238453654263846
"45to64";"2018-W45";0.000164089323174476
"45to64";"2018-W46";0.00042931820738058
"45to64";"2018-W47";0.000799574613178142
"45to64";"2018-W48";0.00127932494596419
"45to64";"2018-W49";0.00284249352337828
"45to64";"2018-W50";0.00248749463473085
"45to64";"2018-W51";0.00634134180017223
"45to64";"2018-W52";0.0134831562260224
"45to64";"2019-W01";0.0113852990028668
"45to64";"2019-W02";0.0148674892070963
"45to64";"2019-W03";0.0148924478185495
"45to64";"2019-W04";0.0312266110178669
"45to64";"2019-W05";0.0776903204952585
"45to64";"2019-W06";0.104312929427011
"45to64";"2019-W07";0.0840180943338596
"45to64";"2019-W08";0.0509215123344684
"45to64";"2019-W09";0.023368393273416
"45to64";"2019-W10";0.0190402342403868
"45to64";"2019-W11";0.00923865735660836
"45to64";"2019-W12";0.00700729864719613
"45to64";"2019-W13";0.00628616132681152
"45to64";"2019-W14";0.00370013058434854
"45to64";"2019-W15";0.00336912910497928
"45to64";"2019-W16";0.00293650377652795
"45to64";"2019-W17";0.00134048788901281
"45to64";"2019-W18";0.00104485519005241
"45to64";"2019-W19";0.000807455471512966
"45to64";"2019-W20";0.000850722419487482
"45to64";"2019-W21";8.9822266271189e-05
"45to64";"2019-W22";0
"45to64";"2019-W23";9.49133721064075e-05
"45to64";"2019-W24";9.78768973161449e-05
"45to64";"2019-W25";0
"45to64";"2019-W26";0.000188900778315446
"45to64";"2019-W27";7.7418031290731e-05
"45to64";"2019-W28";8.20941446722236e-05
"45to64";"2019-W29";0
"45to64";"2019-W30";0
"45to64";"2019-W31";8.15955748819224e-05
"45to64";"2019-W32";8.15929761170519e-05
"45to64";"2019-W33";7.98719665989819e-05
"45to64";"2019-W34";8.96168153210815e-05
"45to64";"2019-W35";9.38291470077511e-05
"45to64";"2019-W36";0
"45to64";"2019-W37";0
"45to64";"2019-W38";0.000274893366627715
"45to64";"2019-W39";0.000191695484906402
"45to64";"2019-W40";0.000274763222556448
"45to64";"2019-W41";0.000376502862068856
"45to64";"2019-W42";0.000447199149626193
"45to64";"2019-W43";0.000449232834446347
"45to64";"2019-W44";0.000367758788701092
"45to64";"2019-W45";0.000776253002405985
"45to64";"2019-W46";0.00107183734472739
"45to64";"2019-W47";0.00181474727136046
"45to64";"2019-W48";0.00132143220754408
"45to64";"2019-W49";0.00210914909668251
"45to64";"2019-W50";0.00272378826222682
"45to64";"2019-W51";0.00793001262365441
"45to64";"2019-W52";0.00818598583554888
"45to64";"2020-W01";0.00844847735997714
"45to64";"2020-W02";0.00729228565479001
"45to64";"2020-W03";0.00535046845587996
"45to64";"2020-W04";0.00787690546964426
"45to64";"2020-W05";0.011591912614009
"45to64";"2020-W06";0.011850203853059
"45to64";"2020-W07";0.0151716855652957
"45to64";"2020-W08";0.0145438753920006
"45to64";"2020-W09";0.0137864163261007
"45to64";"2020-W10";0.018917051556288
"45to64";"2020-W11";0.014511164762056
"45to64";"2020-W12";0.00498714219844213
"45to64";"2020-W13";0.00181870671144337
"45to64";"2020-W14";0.000266948098409048
"45to64";"2020-W15";0
"45to64";"2020-W16";0
